GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
MYH13	1.07483377192982	0.893388843813387	10.4292166763703	3.83444370065857e-23	3.05120655715196e-21	41.7474233237313
CACNA2D1	1.07348647138678	5.98364503042596	5.42585509958195	9.06464581892029e-08	7.28649877300053e-07	7.06576447933061
CNTNAP3	1.06957775863268	5.76697484787018	9.89273724904102	3.62202707289456e-21	2.27401271579588e-19	37.2640961058765
LOC100302650	1.06719939780004	5.83654036511157	6.29189892514877	6.93813490084107e-10	8.29585961061545e-09	11.7879010147858
SLC22A15	1.06648495022277	5.95329837728195	12.6666486047857	5.03656590324293e-32	1.01373233327037e-29	61.9405409758192
ABP1	1.06630805137842	6.08668417849898	3.83379363935269	0.000142552650349734	0.000554176465002847	0.0387110912235151
FBLL1	1.06425912524366	4.43423914807302	5.7165354775515	1.88682184185832e-08	1.73085131426949e-07	8.58285595169498
FFAR2	1.06386417954607	7.4710430020284	8.2840644841997	1.13576010037344e-15	3.43910838652901e-14	24.8149004741122
SLC22A3	1.06230080235307	9.79664036511157	6.51651364086257	1.78315439144848e-10	2.37253141000889e-09	13.1101253712874
DNASE2B	1.05809707602338	7.20558701825558	7.03413101615346	6.74752555303965e-12	1.13826376009781e-10	16.3039487985916
FLJ26850	1.05640362016151	4.90927464503042	4.82979383520398	1.82791627712821e-06	1.11290394927171e-05	4.17643089045304
LOX	1.05457465886938	7.88369979716024	10.0761706025358	7.78120760421621e-22	5.36067758773687e-20	38.7796449863183
INA	1.04770154379003	3.09595862068966	7.49101071577729	3.19124197918226e-13	6.77520143046657e-12	19.2876513930612
C4orf19	1.04756714355331	5.17516795131845	6.59381575668189	1.10737537512377e-10	1.52887803976402e-09	13.5741962592153
TPO	1.04645882762461	2.59959634888438	9.20520664244312	9.76951060685225e-19	4.62138370411698e-17	31.7524551136251
THPO	1.04181392195766	3.21934097363083	9.44711119542901	1.40579179181071e-19	7.34374185391193e-18	33.6605679270295
GRPR	1.03256775271511	4.87575780933063	5.6459481405462	2.77937542397198e-08	2.46588493751706e-07	8.20805549258484
RBM24	1.03204772869672	6.57018640973631	8.03573531141188	6.94547757269142e-15	1.88611976940946e-13	23.038093964327
KRT75	1.02854741019214	1.48277180527383	7.01980949399855	7.4069140721643e-12	1.23737686574333e-10	16.2128808477017
B3GAT1	1.02667657163741	8.95932860040568	7.65565017235109	1.02523140857169e-13	2.37027036238479e-12	20.3994690326496
CNTN4	1.02646230158729	6.84293691683569	9.64537931132039	2.79855455933603e-20	1.59018122891334e-18	35.2499234092236
SCN2A	1.02588034844054	4.1974121703854	7.4662388566621	3.77964725646596e-13	7.92606314353893e-12	19.1220237256449
SFTA3	1.0240734318435	0.828387221095335	8.99484069656934	5.12712144441398e-18	2.23481535570741e-16	30.1215292411001
